0,0,0,5,10,9,9,9,9,3.14;
0,0,0,5,5,1,0,0,0,0;
0,0,0,5,5,1,0,0,0,0;
0,0,0,0,15.12,0,0,0,0,0;
0,0,0,0,1,0,0,0,0,0;
0,0,0,8,1,0,0,0,0,0;
0,0,0,0,15.10,0,0,0,0,0;
0,0,0,0,1,0,0,0,0,0;
0,0,0,1,1,15.08,6,0,0,0;
0,0,0,1,7,1,0,0,0,0;
0,0,0,1,1,1,1,0,0,0;
0,0,0,0,15.07,0,0,0,0,0;
0,0,0,0,1,1,0,0,0,0;
0,0,0,0,1,1,0,2.1,0,0;
0,0,0,15.06,15.06,15.06,15.06,0,0,0;
0,0,0,1,1,1,1,0,0,0;
9,9,9,9,9,9,9,9,9,3.19;
0,0,0,1,1,1,1,0,0,0;
0,0,0,15.05,15.05,15.05,15.05,0,0,0;
0,0,0,4,1,1,1,0,0,0;
0,0,0,1,1,1,1,0,0,0;
0,0,0,15.09,15.09,15.09,15.09,0,0,0;
0,0,0,1,1,1,1,0,0,0;
0,0,0,5,5,5,5,0,0,0;
0,0,0,1,1,1,1,0,0,0;
0,0,0,1,5,1,5,0,0,0;
0,0,0,15.04,15.04,15.04,15.04,0,0,0;
0,0,15.11,1,1,1,1,15.11,0,0;
0,0,15.11,1,1,1,1,15.11,0,0;
0,0,15.11,1,15.03,1,1,15.11,0,0;
0,0,15.11,15.03,11,15.03,1,15.11,0,0
